0	annotate_busby_phage_0_1
1	annotate_busby_phage_0_10
2	annotate_virome_phage_2288_33
3	annotate_virome_phage_79_5
4	annotate_total_phage_233_39
5	annotate_deboutte_phage_138_2
6	annotate_virome_phage_2303_19
7	annotate_virome_phage_902_3
8	annotate_busby_phage_378_7
9	annotate_busby_phage_470_53
10	annotate_virome_phage_860_29
11	annotate_deboutte_phage_166_12
12	annotate_virome_phage_837_15
13	annotate_busby_phage_0_2
14	annotate_busby_phage_0_11
15	annotate_busby_phage_470_52
16	annotate_deboutte_phage_138_3
17	annotate_virome_phage_2288_32
18	annotate_virome_phage_79_6
19	annotate_total_phage_233_40
20	annotate_busby_phage_378_8
21	annotate_busby_phage_0_3
22	annotate_busby_phage_0_12
23	annotate_virome_phage_2288_34
24	annotate_virome_phage_79_4
25	annotate_total_phage_233_38
26	annotate_deboutte_phage_138_1
27	annotate_deboutte_phage_166_13
28	annotate_busby_phage_470_54
29	annotate_virome_phage_902_4
30	annotate_virome_phage_2303_18
31	annotate_busby_phage_0_4
32	annotate_busby_phage_0_13
33	annotate_virome_phage_172_3
34	annotate_busby_phage_36_1
35	annotate_busby_phage_0_5
36	annotate_virome_phage_2353_30
37	annotate_busby_phage_155_31
38	annotate_busby_phage_158_1
39	annotate_busby_phage_158_8
40	annotate_busby_phage_158_10
41	annotate_deboutte_phage_143_1
42	annotate_total_phage_233_113
43	annotate_total_phage_294_73
44	annotate_busby_phage_0_8
45	annotate_total_phage_655_12
46	annotate_deboutte_phage_487_4
47	annotate_total_phage_605_3
48	annotate_total_phage_175_1
49	annotate_total_phage_362_82
50	annotate_virome_phage_127_12
51	annotate_virome_phage_2281_87
52	annotate_deboutte_phage_79_6
53	annotate_rosso_phage_39_1
54	annotate_busby_phage_449_5
55	annotate_virome_phage_750_9
56	annotate_deboutte_phage_181_34
57	annotate_virome_phage_2300_60
58	annotate_virome_phage_38_53
59	annotate_total_phage_788_4
60	annotate_busby_phage_0_6
61	annotate_busby_phage_303_56
62	annotate_total_phage_299_52
63	annotate_busby_phage_171_40
64	annotate_busby_phage_0_9
65	annotate_busby_phage_1_1
66	annotate_busby_phage_1_8
67	annotate_busby_phage_396_7
68	annotate_busby_phage_396_14
69	annotate_deboutte_phage_86_47
70	annotate_busby_phage_1_6
71	annotate_deboutte_phage_154_19
72	annotate_busby_phage_172_9
73	annotate_busby_phage_192_1
74	annotate_busby_phage_466_24
75	annotate_virome_phage_2290_16
76	annotate_busby_phage_1_2
77	annotate_busby_phage_1_5
78	annotate_busby_phage_1_7
79	annotate_busby_phage_396_1
80	annotate_busby_phage_396_3
81	annotate_deboutte_phage_154_18
82	annotate_deboutte_phage_86_48
83	annotate_busby_phage_185_75
84	annotate_rosso_phage_29_65
85	annotate_virome_phage_39_5
86	annotate_deboutte_phage_125_6
87	annotate_total_phage_2_51
88	annotate_busby_phage_396_5
89	annotate_busby_phage_396_6
90	annotate_busby_phage_1_3
91	annotate_busby_phage_185_74
92	annotate_busby_phage_107_1
93	annotate_busby_phage_139_2
94	annotate_virome_phage_855_19
95	annotate_deboutte_phage_182_26
96	annotate_virome_phage_37_19
97	annotate_virome_phage_818_3
98	annotate_busby_phage_1_4
99	annotate_busby_phage_396_2
100	annotate_deboutte_phage_154_17
101	annotate_deboutte_phage_86_49
102	annotate_busby_phage_396_4
103	annotate_busby_phage_185_58
104	annotate_deboutte_phage_125_5
105	annotate_virome_phage_39_4
106	annotate_total_phage_2_52
107	annotate_deboutte_phage_439_20
108	annotate_busby_phage_305_34
109	annotate_total_phage_793_63
110	annotate_total_phage_175_15
111	annotate_virome_phage_38_51
112	annotate_virome_phage_2282_21
113	annotate_virome_phage_2324_45
114	annotate_rosso_phage_29_66
115	annotate_busby_phage_185_73
116	annotate_total_phage_637_5
117	annotate_total_phage_663_10
118	annotate_busby_phage_305_35
119	annotate_total_phage_175_16
120	annotate_total_phage_793_62
121	annotate_virome_phage_870_1
122	annotate_busby_phage_1_9
123	annotate_busby_phage_1_16
124	annotate_busby_phage_396_8
125	annotate_busby_phage_396_13
126	annotate_deboutte_phage_86_46
127	annotate_deboutte_phage_154_21
128	annotate_rosso_phage_29_64
129	annotate_busby_phage_185_76
130	annotate_virome_phage_39_7
131	annotate_busby_phage_139_32
132	annotate_deboutte_phage_125_8
133	annotate_total_phage_2_49
134	annotate_busby_phage_1_10
135	annotate_busby_phage_1_15
136	annotate_busby_phage_1_11
137	annotate_busby_phage_396_9
138	annotate_rosso_phage_29_63
139	annotate_busby_phage_396_12
140	annotate_total_phage_2_47
141	annotate_virome_phage_2235_40
142	annotate_deboutte_phage_462_2
143	annotate_total_phage_98_5
144	annotate_total_phage_930_24
145	annotate_busby_phage_1_12
146	annotate_busby_phage_396_10
147	annotate_rosso_phage_29_55
148	annotate_busby_phage_1_14
149	annotate_deboutte_phage_86_38
150	annotate_busby_phage_396_11
151	annotate_total_phage_2_41
152	annotate_virome_phage_39_13
153	annotate_deboutte_phage_135_9
154	annotate_virome_phage_2323_10
155	annotate_rosso_phage_111_77
156	annotate_virome_phage_5_91
157	annotate_busby_phage_1_13
158	annotate_busby_phage_185_83
159	annotate_busby_phage_97_14
160	annotate_busby_phage_97_41
161	annotate_total_phage_786_39
162	annotate_rosso_phage_29_57
163	annotate_deboutte_phage_154_28
164	annotate_busby_phage_97_17
165	annotate_busby_phage_472_20
166	annotate_total_phage_2_40
167	annotate_total_phage_437_16
168	annotate_total_phage_105_18
169	annotate_virome_phage_39_14
170	annotate_busby_phage_97_35
171	annotate_deboutte_phage_123_49
172	annotate_busby_phage_97_39
173	annotate_deboutte_phage_109_6
174	annotate_virome_phage_2235_38
175	annotate_virome_phage_2280_64
176	annotate_busby_phage_101_1
177	annotate_busby_phage_422_1
178	annotate_total_phage_360_10
179	annotate_busby_phage_243_28
180	annotate_total_phage_117_6
181	annotate_deboutte_phage_5_10
182	annotate_deboutte_phage_483_2
183	annotate_busby_phage_289_6
184	annotate_virome_phage_2327_13
185	annotate_virome_phage_882_5
186	annotate_total_phage_245_39
187	annotate_deboutte_phage_28_2
188	annotate_rosso_phage_36_49
189	annotate_virome_phage_935_22
190	annotate_busby_phage_241_6
191	annotate_total_phage_121_7
192	annotate_busby_phage_151_57
193	annotate_busby_phage_220_7
194	annotate_busby_phage_186_33
195	annotate_busby_phage_186_40
196	annotate_busby_phage_291_12
197	annotate_busby_phage_291_17
198	annotate_deboutte_phage_260_1
199	annotate_deboutte_phage_150_8
200	annotate_total_phage_114_3
201	annotate_busby_phage_101_2
202	annotate_busby_phage_422_2
203	annotate_total_phage_11_7
204	annotate_busby_phage_277_11
205	annotate_total_phage_188_56
206	annotate_total_phage_293_13
207	annotate_virome_phage_882_10
208	annotate_total_phage_117_11
209	annotate_busby_phage_213_7
210	annotate_total_phage_796_14
211	annotate_virome_phage_800_8
212	annotate_virome_phage_88_8
213	annotate_deboutte_phage_279_8
214	annotate_deboutte_phage_28_7
215	annotate_rosso_phage_16_20
216	annotate_total_phage_114_9
217	annotate_total_phage_738_45
218	annotate_virome_phage_850_47
219	annotate_total_phage_12_26
220	annotate_busby_phage_468_52
221	annotate_busby_phage_289_62
222	annotate_deboutte_phage_430_2
223	annotate_virome_phage_935_16
224	annotate_total_phage_737_59
225	annotate_total_phage_305_11
226	annotate_busby_phage_102_1
227	annotate_busby_phage_102_2
228	annotate_busby_phage_103_1
229	annotate_busby_phage_130_1
230	annotate_busby_phage_120_1
231	annotate_busby_phage_121_1
232	annotate_busby_phage_121_2
233	annotate_busby_phage_121_3
234	annotate_busby_phage_121_4
235	annotate_busby_phage_104_1
236	annotate_busby_phage_104_3
237	annotate_busby_phage_104_4
238	annotate_busby_phage_185_87
239	annotate_deboutte_phage_123_39
240	annotate_virome_phage_39_26
241	annotate_busby_phage_104_2
242	annotate_busby_phage_185_86
243	annotate_deboutte_phage_123_38
244	annotate_virome_phage_39_27
